SP1_Transport	Problem type: adjoint
cell    node    group   phi     
67      1       1       1.29703e-07
68      0       1       1.29703e-07
68      1       1       1.29726e-07
69      0       1       1.29726e-07
69      1       1       1.29749e-07
70      0       1       1.29749e-07
70      1       1       1.29773e-07
71      0       1       1.29773e-07
71      1       1       1.29796e-07
72      0       1       1.29796e-07
72      1       1       1.2982e-07
73      0       1       1.2982e-07
73      1       1       1.29845e-07
74      0       1       1.29845e-07
74      1       1       1.29869e-07
75      0       1       1.29869e-07
75      1       1       1.29894e-07
76      0       1       1.29894e-07
76      1       1       1.2992e-07
77      0       1       1.2992e-07
77      1       1       1.29945e-07
78      0       1       1.29945e-07
78      1       1       1.29972e-07
79      0       1       1.29972e-07
79      1       1       1.29998e-07
80      0       1       1.29998e-07
80      1       1       1.30025e-07
81      0       1       1.30025e-07
81      1       1       1.30052e-07
82      0       1       1.30052e-07
82      1       1       1.30079e-07
83      0       1       1.30079e-07
83      1       1       1.30107e-07
84      0       1       1.30107e-07
84      1       1       1.30135e-07
85      0       1       1.30135e-07
85      1       1       1.30163e-07
86      0       1       1.30163e-07
86      1       1       1.30192e-07
87      0       1       1.30192e-07
87      1       1       1.30221e-07
88      0       1       1.30221e-07
88      1       1       1.30251e-07
89      0       1       1.30251e-07
89      1       1       1.3028e-07
90      0       1       1.3028e-07
90      1       1       1.3031e-07
91      0       1       1.3031e-07
91      1       1       1.30341e-07
92      0       1       1.30341e-07
92      1       1       1.30372e-07
93      0       1       1.30372e-07
93      1       1       1.30403e-07
94      0       1       1.30403e-07
94      1       1       1.30434e-07
95      0       1       1.30434e-07
95      1       1       1.30466e-07
96      0       1       1.30466e-07
96      1       1       1.30498e-07
97      0       1       1.30498e-07
97      1       1       1.3053e-07
98      0       1       1.3053e-07
98      1       1       1.30563e-07
99      0       1       1.30563e-07
99      1       1       1.30596e-07
100     0       1       1.30596e-07
100     1       1       1.35633e-07
101     0       1       1.35633e-07
101     1       1       1.44189e-07
102     0       1       1.44189e-07
102     1       1       1.56487e-07
103     0       1       1.56487e-07
103     1       1       1.72844e-07
104     0       1       1.72844e-07
104     1       1       1.93685e-07
105     0       1       1.93685e-07
105     1       1       2.19552e-07
106     0       1       2.19552e-07
106     1       1       2.51115e-07
107     0       1       2.51115e-07
107     1       1       2.89193e-07
108     0       1       2.89193e-07
108     1       1       3.34775e-07
109     0       1       3.34775e-07
109     1       1       3.89042e-07
110     0       1       3.89042e-07
110     1       1       4.53403e-07
111     0       1       4.53403e-07
111     1       1       5.29527e-07
112     0       1       5.29527e-07
112     1       1       6.1939e-07
113     0       1       6.1939e-07
113     1       1       7.25323e-07
114     0       1       7.25323e-07
114     1       1       8.50075e-07
115     0       1       8.50075e-07
115     1       1       9.96882e-07
116     0       1       9.96882e-07
116     1       1       1.16955e-06
117     0       1       1.16955e-06
117     1       1       1.37257e-06
118     0       1       1.37257e-06
118     1       1       1.61119e-06
119     0       1       1.61119e-06
119     1       1       1.89162e-06
120     0       1       1.89162e-06
120     1       1       2.22113e-06
121     0       1       2.22113e-06
121     1       1       2.60827e-06
122     0       1       2.60827e-06
122     1       1       3.06307e-06
123     0       1       3.06307e-06
123     1       1       3.59735e-06
124     0       1       3.59735e-06
124     1       1       4.22496e-06
125     0       1       4.22496e-06
125     1       1       4.96219e-06
126     0       1       4.96219e-06
126     1       1       5.82816e-06
127     0       1       5.82816e-06
127     1       1       6.84534e-06
128     0       1       6.84534e-06
128     1       1       8.04013e-06
129     0       1       8.04013e-06
129     1       1       9.44352e-06
130     0       1       9.44352e-06
130     1       1       1.10919e-05
131     0       1       1.10919e-05
131     1       1       1.30281e-05
132     0       1       1.30281e-05
132     1       1       1.53023e-05
133     0       1       1.53023e-05
133     1       1       1.79735e-05
134     0       1       1.79735e-05
134     1       1       2.1111e-05
135     0       1       2.1111e-05
135     1       1       2.47963e-05
136     0       1       2.47963e-05
136     1       1       2.91249e-05
137     0       1       2.91249e-05
137     1       1       3.42092e-05
138     0       1       3.42092e-05
138     1       1       4.0181e-05
139     0       1       4.0181e-05
139     1       1       4.71953e-05
140     0       1       4.71953e-05
140     1       1       5.54341e-05
141     0       1       5.54341e-05
141     1       1       6.51111e-05
142     0       1       6.51111e-05
142     1       1       7.64775e-05
143     0       1       7.64775e-05
143     1       1       8.9828e-05
144     0       1       8.9828e-05
144     1       1       0.000105509
145     0       1       0.000105509
145     1       1       0.000123928
146     0       1       0.000123928
146     1       1       0.000145562
147     0       1       0.000145562
147     1       1       0.000170972
148     0       1       0.000170972
148     1       1       0.000200818
149     0       1       0.000200818
149     1       1       0.000235875
150     0       1       0.000235875
150     1       1       0.000277052
151     0       1       0.000277052
151     1       1       0.000325416
152     0       1       0.000325416
152     1       1       0.000382223
153     0       1       0.000382223
153     1       1       0.000448948
154     0       1       0.000448948
154     1       1       0.00052732
155     0       1       0.00052732
155     1       1       0.000619374
156     0       1       0.000619374
156     1       1       0.000727497
157     0       1       0.000727497
157     1       1       0.000854495
158     0       1       0.000854495
158     1       1       0.00100366
159     0       1       0.00100366
159     1       1       0.00117887
160     0       1       0.00117887
160     1       1       0.00138467
161     0       1       0.00138467
161     1       1       0.00162638
162     0       1       0.00162638
162     1       1       0.0019103
163     0       1       0.0019103
163     1       1       0.00224378
164     0       1       0.00224378
164     1       1       0.00263547
165     0       1       0.00263547
165     1       1       0.00309554
166     0       1       0.00309554
166     1       1       0.00363593
167     0       1       0.00363593
167     1       1       0.00427065
168     0       1       0.00427065
168     1       1       0.00501617
169     0       1       0.00501617
169     1       1       0.00589184
170     0       1       0.00589184
170     1       1       0.00692037
171     0       1       0.00692037
171     1       1       0.00812844
172     0       1       0.00812844
172     1       1       0.00954742
173     0       1       0.00954742
173     1       1       0.0112141
174     0       1       0.0112141
174     1       1       0.0131717
175     0       1       0.0131717
175     1       1       0.0154711
176     0       1       0.0154711
176     1       1       0.0181719
177     0       1       0.0181719
177     1       1       0.0213441
178     0       1       0.0213441
178     1       1       0.0250701
179     0       1       0.0250701
179     1       1       0.0294466
180     0       1       0.0294466
180     1       1       0.034587
181     0       1       0.034587
181     1       1       0.0406248
182     0       1       0.0406248
182     1       1       0.0477167
183     0       1       0.0477167
183     1       1       0.0560465
184     0       1       0.0560465
184     1       1       0.0658305
185     0       1       0.0658305
185     1       1       0.0773224
186     0       1       0.0773224
186     1       1       0.0908205
187     0       1       0.0908205
187     1       1       0.106675
188     0       1       0.106675
188     1       1       0.125297
189     0       1       0.125297
189     1       1       0.14717 
190     0       1       0.14717 
190     1       1       0.172861
191     0       1       0.172861
191     1       1       0.203037
192     0       1       0.203037
192     1       1       0.238481
