Monte Carlo	Total particles: 10000000	Num histories: 10000000	Implicit capture: 0	Init with adjoint: 0	Runtime: 1602.43
cell/edge       group           current         surface_flux    volume_flux     collision_flux  curr_var        sur_var         vol_var         coll_var        curr_err        sur_err         vol_err         coll_err        curr_rel        sur_rel         vol_rel         coll_rel        curr_fom        sur_fom         vol_fom         coll_fom        
74              0               7.38129         16.8894         16.878          16.7376         50.8789         783.879         645.087         17170.1         0.00225564      0.00885369      0.00803173      0.0414368       0.000305588     0.000524216     0.000475868     0.00247567      6682.65         2270.92         2755.8          101.821         
75              0               7.37006         16.8555         16.8393         16.842          50.6553         944.066         640.296         17300.7         0.00225067      0.00971631      0.00800185      0.0415942       0.000305381     0.000576448     0.000475188     0.00246967      6691.73         1878.03         2763.7          102.316         
76              0               7.35874         16.82           16.8022         16.7771         50.4268         1151.28         653.22          17199.4         0.00224559      0.0107298       0.0080822       0.0414722       0.00030516      0.000637919     0.000481021     0.00247195      6701.43         1533.53         2697.08         102.127         
77              0               7.34733         16.7733         16.7518         16.8144         50.2088         864.68          631.924         17246.5         0.00224073      0.00929882      0.00794936      0.0415289       0.000304972     0.000554382     0.000474538     0.00246984      6709.66         2030.5          2771.28         102.302         
78              0               7.3354          16.7387         16.7173         16.6919         49.9878         1079.23         646.784         17138.7         0.00223579      0.0103886       0.00804229      0.0413989       0.000304795     0.000620633     0.000481075     0.00248018      6717.46         1620.14         2696.47         101.451         
79              0               7.32334         16.6978         16.6748         16.625          49.7671         1016.84         650.129         17059.8         0.00223085      0.0100838       0.00806306      0.0413035       0.000304623     0.000603901     0.000483549     0.00248442      6725.07         1711.16         2668.95         101.105         
80              0               7.31108         16.64           16.6212         16.7054         49.5441         833.295         622.663         17146.1         0.00222585      0.0091285       0.0078909       0.0414079       0.000304449     0.000548588     0.000474748     0.00247871      6732.77         2073.62         2768.83         101.571         
81              0               7.29935         16.5877         16.5801         16.5182         49.334          726.445         641.797         16941.3         0.00222113      0.00852317      0.00801122      0.0411599       0.000304291     0.000513826     0.000483184     0.00249179      6739.74         2363.68         2672.99         100.508         
82              0               7.2872          16.567          16.5377         16.5561         49.1145         1288            627.634         16996.4         0.00221618      0.011349        0.00792233      0.0412267       0.000304119     0.000685035     0.000479046     0.00249012      6747.35         1329.83         2719.36         100.642         
83              0               7.27458         16.514          16.4914         16.516          48.8954         795.326         626.444         16957.8         0.00221123      0.00891811      0.00791482      0.0411799       0.000303967     0.000540032     0.000479936     0.00249333      6754.14         2139.85         2709.28         100.383         
84              0               7.26201         16.4672         16.4482         16.5206         48.6874         873.685         629.99          16956.1         0.00220652      0.00934711      0.00793719      0.0411777       0.000303845     0.000567621     0.000482555     0.00249251      6759.55         1936.89         2679.95         100.45          
85              0               7.24932         16.4268         16.4017         16.4476         48.4805         1073.57         620.413         16892.7         0.00220183      0.0103613       0.00787663      0.0411007       0.000303729     0.000630757     0.000480233     0.00249889      6764.7          1568.55         2705.93         99.9374         
86              0               7.23632         16.3759         16.3531         16.3952         48.2715         940.643         622.323         16800           0.00219708      0.00969867      0.00788875      0.0409878       0.000303618     0.000592251     0.000482402     0.00249999      6769.65         1779.14         2681.66         99.8495         
87              0               7.2231          16.325          16.3085         16.2856         48.0611         783.64          629.526         16736.4         0.00219228      0.00885234      0.00793427      0.0409101       0.00030351      0.000542258     0.000486511     0.00251204      6774.47         2122.31         2636.55         98.8935         
88              0               7.21002         16.28           16.255          16.2804         47.856          968.706         616.675         16715.5         0.0021876       0.00984228      0.00785287      0.0408847       0.000303411     0.000604564     0.000483105     0.00251128      6778.89         1707.4          2673.86         98.9535         
89              0               7.19653         16.2251         16.1972         16.2015         47.6462         1168.12         611.513         16636.4         0.0021828       0.010808        0.00781993      0.0407878       0.000303313     0.000666124     0.000482796     0.00251753      6783.26         1406.41         2677.28         98.4628         
90              0               7.18275         16.1693         16.1506         16.1953         47.4421         797.908         610.395         16622.8         0.00217812      0.00893257      0.00781278      0.0407711       0.000303243     0.00055244      0.000483746     0.00251746      6786.39         2044.8          2666.78         98.468          
91              0               7.1686          16.1162         16.0878         16.1209         47.2422         765.329         603.235         16545.8         0.00217353      0.00874831      0.00776682      0.0406765       0.000303201     0.000542828     0.000482778     0.00252322      6788.28         2117.86         2677.49         98.0194         
92              0               7.15465         16.0481         16.0212         15.9976         47.0398         885.181         600.067         16398.7         0.00216887      0.00940841      0.0077464       0.0404953       0.000303141     0.000586262     0.000483508     0.00253133      6790.98         1815.67         2669.4          97.3918         
93              0               7.14013         15.9852         15.9625         16.016          46.839          722.334         594.399         16443.9         0.00216423      0.00849902      0.00770973      0.0405511       0.000303108     0.000531681     0.00048299      0.00253191      6792.46         2207.59         2675.13         97.3476         
94              0               7.12549         15.9211         15.8946         15.9005         46.6429         700.387         583.134         16324.7         0.0021597       0.00836891      0.00763632      0.0404038       0.000303094     0.00052565      0.000480435     0.00254104      6793.06         2258.54         2703.66         96.6493         
95              0               7.11063         15.854          15.8315         15.9086         46.4457         705.292         590.413         16325.1         0.00215513      0.00839817      0.00768383      0.0404044       0.000303085     0.00052972      0.000485351     0.00253978      6793.49         2223.97         2649.17         96.7451         
96              0               7.0953          15.7963         15.7612         15.7982         46.2475         806.581         588.763         16211.4         0.00215052      0.00898099      0.00767309      0.0402634       0.000303091     0.000568551     0.000486834     0.00254861      6793.2          1930.56         2633.05         96.0762         
97              0               7.07994         15.7231         15.6841         15.6785         46.0563         759.987         578.306         16099.1         0.00214607      0.00871772      0.00760465      0.0401237       0.00030312      0.000554452     0.000484865     0.00255915      6791.91         2029.99         2654.48         95.2861         
98              0               7.06408         15.6396         15.5996         15.6264         45.8601         847.021         571.249         16058.8         0.0021415       0.00920338      0.0075581       0.0400735       0.000303153     0.000588467     0.000484507     0.00256447      6790.43         1802.09         2658.41         94.8912         
99              0               7.04782         15.5497         15.4983         15.5812         45.6648         788.174         548.668         15993.4         0.00213693      0.00887791      0.00740722      0.0399918       0.000303205     0.000570937     0.000477936     0.00256667      6788.12         1914.46         2732.01         94.7288         
100             0               7.03159         15.4304         13.1518         13.159          45.4676         619.011         203.277         303.638         0.00213231      0.00786773      0.00450862      0.00551033      0.000303248     0.000509885     0.000342814     0.000418751     6786.2          2400.37         5310.13         3558.85         
101             0               5.78352         11.5865         10.4926         10.4969         35.916          473.521         158.871         244.501         0.00189515      0.00688129      0.00398586      0.00494471      0.000327682     0.000593904     0.000379874     0.000471063     5811.89         1769.25         4324.56         2812.32         
102             0               4.86502         9.5164          8.72469         8.72415         29.7554         311.119         132.079         204.468         0.00172497      0.0055778       0.00363426      0.00452181      0.000354567     0.000586126     0.000416549     0.000518309     4963.93         1816.52         3596.57         2322.97         
103             0               4.12642         7.98432         7.3491          7.35318         25.3506         261.683         112.297         174.111         0.00159219      0.0051155       0.00335108      0.00417266      0.000385852     0.000640694     0.000455985     0.000567463     4191.6          1520.27         3001.38         1937.97         
104             0               3.51138         6.75227         6.23554         6.23882         21.9018         222.655         96.8843         149.592         0.00147993      0.00471863      0.00311262      0.00386772      0.000421466     0.000698821     0.000499175     0.000619943     3513.15         1277.88         2504.47         1623.74         
105             0               2.99479         5.74078         5.30172         5.30408         19.1093         215.724         83.7311         128.576         0.00138236      0.00464461      0.00289363      0.00358575      0.00046159      0.000809055     0.000545791     0.000676037     2928.92         953.378         2094.93         1365.47         
106             0               2.55898         4.89096         4.52318         4.52218         16.739          159.043         72.9781         111.244         0.00129379      0.00398802      0.00270145      0.00333533      0.00050559      0.000815386     0.000597244     0.000737549     2441.32         938.632         1749.51         1147.2          
107             0               2.1875          4.17223         3.86268         3.85959         14.6788         177.116         63.5843         96.1885         0.00121156      0.00420852      0.00252159      0.00310143      0.000553856     0.0010087       0.000652809     0.000803565     2034.36         613.337         1464.36         966.451         
